image_number,Penetration_depth (nm),Load (mN),E (GPa)
139,5155,508.367,66.5
140,5154,357.84,67.7
141,5162,286.738,60.3
142,5140,433.392,60.4
143,5182,551.12,75.2
144,4468,599.682,75
145,3990,599.189,73.5
146,3943,599.454,66.1
147,4473,598.946,62.3
148,4254,599.785,72.9
149,4048,599.453,72.4
150,4018,599.587,77.4
151,4160,599.579,74.9
152,3882,599.865,87.2
153,5175,592.269,65.7
154,5190,427.089,54.4
155,5142,484.305,62.9
156,3803,599.344,77.2
157,3939,599.785,74.6
158,3984,599.729,75.5
159,4011,599.454,65.1
160,4660,598.969,64.9
161,5151,528.083,66
162,5155,399.467,61
163,4077,599.748,84.9
164,3759,599.85,81.4
165,3967,599.567,79.3
166,4030,599.855,67.4
167,5160,566.611,66.1
168,3888,598.849,77.2
169,3900,598.723,75.6
170,4104,599.296,72.9
171,5166,327.994,61.4
172,5150,437.544,63.1
173,4387,649.914,80.8
174,4234,649.251,79.2
175,5160,403.724,56.7
176,5134,570.369,66.3
177,4738,649.446,70.1
178,4094,649.416,77.9
179,4262,649.847,79.7
180,4198,649.052,78
181,4079,649.197,70.8
182,5146,441.633,61.7
183,5141,523.355,68.5
184,4243,649.664,74.4
185,4163,649.893,79.7
186,3922,649.777,72.3
187,4153,649.548,76.6
188,4177,649.572,77.2
189,4073,649.984,69.8
190,4260,649.683,68.9
191,5137,599.565,64.6
192,4676,649.737,56.9
193,4413,648.796,58.8
194,3907,648.999,75.5
195,4431,649.425,69.6
196,4236,649.175,72.4
197,5064,648.804,58.6
198,4042,649.638,80.7
199,4681,649.698,78.7
200,5153,524.347,80.2
201,4543,648.813,67.8
202,5173,542.556,56
203,5150,333.048,56
204,5146,437.243,64.9
205,5138,669.044,71.6
206,4317,698.962,76.3
207,4471,699.088,70.3
208,4781,699.383,68.2
209,4399,699.385,72.1
210,5122,699.342,67.4
211,5147,320.324,59.9
212,5145,421.846,58.4
213,4505,698.693,69.2
214,4459,699.623,80
215,4201,699.76,82.2
216,4788,699.611,70.5
217,4326,699.014,79.7
218,4428,699.673,59.9
219,4309,699.206,91.2
220,4332,699.29,76.1
221,4389,699.877,73.2
222,4260,699.379,83.2
223,4270,698.807,85.5
224,4441,699.612,71.4
225,4399,699.939,57.3
226,4530,698.577,67
227,4271,699.464,78.5
228,5155,333.219,56.9
229,4648,749.098,78.7
230,4418,749.71,72
231,5151,687.263,68.9
232,5139,724.699,71
233,5148,506.348,68.2
234,5138,426.239,60.7
235,5170,547.512,71.7
236,4948,748.928,70.3
237,4409,748.744,79.4
238,4517,749.292,73
239,4877,748.633,81.4
240,4296,748.506,88.7
241,4295,749.685,83.7
242,4367,749.675,77
243,4407,749.933,87.8
244,4608,749.305,73.7
245,4512,749.777,72.6
246,4401,748.991,69.2
247,5152,408.906,63.7
248,4770,749.108,70.7
249,4426,748.576,84.2
250,4676,749.387,75.9
251,5153,538.478,52.2
252,4417,748.524,83
253,4548,749.62,71.8
254,4632,748.947,70.6
255,5151,541.749,69.2
256,4879,798.513,78.6
